ticker,missing_date
AAPL,2024-11-28
AAPL,2024-12-25
AAPL,2025-01-01
AAPL,2025-01-09
AAPL,2025-01-20
AAPL,2025-02-17
AAPL,2025-04-18
AAPL,2025-05-26
AAPL,2025-06-19
AAPL,2025-07-04
AAPL,2025-09-01
BLK,2024-11-28
BLK,2024-12-25
BLK,2025-01-01
BLK,2025-01-09
BLK,2025-01-20
BLK,2025-02-17
BLK,2025-04-18
BLK,2025-05-26
BLK,2025-06-19
BLK,2025-07-04
BLK,2025-09-01
META,2024-11-28
META,2024-12-25
META,2025-01-01
META,2025-01-09
META,2025-01-20
META,2025-02-17
META,2025-04-18
META,2025-05-26
META,2025-06-19
META,2025-07-04
META,2025-09-01
MSFT,2024-11-28
MSFT,2024-12-25
MSFT,2025-01-01
MSFT,2025-01-09
MSFT,2025-01-20
MSFT,2025-02-17
MSFT,2025-04-18
MSFT,2025-05-26
MSFT,2025-06-19
MSFT,2025-07-04
MSFT,2025-09-01
PYPL,2024-11-28
PYPL,2024-12-25
PYPL,2025-01-01
PYPL,2025-01-09
PYPL,2025-01-20
PYPL,2025-02-17
PYPL,2025-04-18
PYPL,2025-05-26
PYPL,2025-06-19
PYPL,2025-07-04
PYPL,2025-09-01
SHOP,2024-11-28
SHOP,2024-12-25
SHOP,2025-01-01
SHOP,2025-01-09
SHOP,2025-01-20
SHOP,2025-02-17
SHOP,2025-04-18
SHOP,2025-05-26
SHOP,2025-06-19
SHOP,2025-07-04
SHOP,2025-09-01
