ticker,asset_name,asset_class,exchange,cost,current price,quantity,pnl,currency,sector
AVDL,Avadel,Equity,USA,17.0,21.554000854492188,30.0,136.62002563476562,USD,TODO
CVS,CVS,Equity,USA,74.89,73.8550033569336,12.0,-12.419959716796882,USD,TODO
RPRX,Royalty Pharma,Equity,USA,27.56,41.580101013183594,18.0,252.3618182373047,USD,TODO
TMO,Thermo Fisher,Equity,USA,571.45,574.1599731445312,2.0,5.419946289062409,USD,TODO
UNH,UnitedHealth,Equity,USA,444.12,285.8500061035156,5.0,-791.3499694824219,USD,TODO
ABBV,AbbVie,Equity,USA,80.26,226.82000732421875,19.0,2784.6401391601567,USD,TODO
BLCO,Bausch + Lomb,Equity,USA,16.91,16.674999237060547,50.0,-11.750038146972663,USD,TODO
BMY,Bristol-Myers Squibb,Equity,USA,60.79,55.16999816894531,25.0,-140.50004577636716,USD,TODO
CI,Cigna,Equity,USA,319.29,273.1000061035156,6.0,-277.1399633789064,USD,TODO
JNJ,Johnson & Johnson,Equity,USA,135.79,230.25,20.0,1889.2000000000003,USD,TODO
MRK,Merck,Equity,USA,76.94,110.6500015258789,27.0,910.1700411987306,USD,TODO
NVS,Novartis,Equity,USA,75.66,149.97000122070312,17.0,1263.270020751953,USD,TODO
PFE,Pfizer,Equity,USA,39.92,26.514999389648438,61.0,-817.7050372314454,USD,TODO
REGN,Regeneron,Equity,USA,575.24,749.5449829101562,3.0,522.9149487304687,USD,TODO
SDZ.SW,Sandoz,Equity,SW,20.87,nan,3.0,nan,USD,TODO
NBIX,Neurocrine,Equity,USA,123.02,135.0,8.0,95.84000000000003,USD,TODO
VRTX,Vertex,Equity,USA,211.09,465.7349853515625,8.0,2037.1598828125,USD,TODO
ABT,Abbott,Equity,USA,94.32,109.5199966430664,33.0,501.59988922119163,USD,TODO
A,Agilent,Equity,USA,142.97,132.6199951171875,10.0,-103.50004882812499,USD,TODO
DHR,Danaher,Equity,USA,206.36,217.35000610351562,5.0,54.950030517577915,USD,TODO
ISRG,Intuitive Surgical,Equity,USA,184.54,500.45001220703125,8.0,2527.2800976562503,USD,TODO
MCK,McKesson,Equity,USA,453.01,836.77001953125,6.0,2302.5601171875,USD,TODO
MDT,Medtronic,Equity,USA,113.04,102.45999908447266,20.0,-211.600018310547,USD,TODO
VLTO,Veralto,Equity,USA,82.04,98.86000061035156,1.0,16.820000610351556,USD,TODO
LNTH,Lantheus,Equity,USA,116.86,66.5999984741211,9.0,-452.34001373291017,USD,TODO
RMD,Resmed,Equity,USA,235.55,256.04998779296875,5.0,102.4999389648437,USD,TODO
AMLX,Amylyx,Equity,USA,25.05,14.71500015258789,22.0,-227.36999664306643,USD,TODO
AXSM,Axsome,Equity,USA,49.56,186.89999389648438,30.0,4120.199816894531,USD,TODO
MDGL,Madrigal,Equity,USA,127.46,484.4700012207031,11.0,3927.1100134277344,USD,TODO
KRYS,Krystal Biotech,Equity,USA,188.12,276.04998779296875,5.0,439.6499389648437,USD,TODO
,Cash,,,,2375.719999999993,,,,
